订单编号,订单日期,地区,渠道,商品类别,商品名称,数量,单价,折扣,销售额,成本,客户类型,订单状态
ORD-2025-0001,2025-05-10,西北,企业团购,数码配件,手机支架,3,49.0,0.9,132.3,66.15,会员,已完成
ORD-2025-0002,2025-06-25,西南,电商平台,厨房用品,刀具套装,4,169.0,0.85,574.6,371.8,新客,已完成
ORD-2025-0003,2025-03-04,华东,直播间,食品饮料,手冲咖啡豆,1,79.0,0.9,71.1,45.03,会员,已完成
ORD-2025-0004,2025-05-29,华北,电商平台,食品饮料,手冲咖啡豆,4,79.0,0.9,284.4,180.12,老客,已完成
ORD-2025-0005,2025-03-08,华南,企业团购,厨房用品,保温杯,3,89.0,1.0,0.0,0.0,会员,已取消
ORD-2025-0006,2025-01-31,华东,,食品饮料,低糖燕麦,2,59.0,0.85,100.3,71.98,会员,已完成
ORD-2025-0007,2025-03-05,华南,电商平台,数码配件,蓝牙耳机,2,239.0,0.85,406.3,277.24,新客,已完成
ORD-2025-0008,2025-04-27,西北,直播间,厨房用品,刀具套装,4,169.0,0.9,608.4,371.8,会员,已完成
ORD-2025-0009,2025-01-06,西南,直播间,家居日用,护眼台灯,2,149.0,0.85,253.3,157.94,新客,已完成
ORD-2025-0010,2025-06-20,华东,电商平台,食品饮料,低糖燕麦,5,59.0,0.85,250.75,179.95,新客,已完成
ORD-2025-0011,2025-03-04,华北,直营网店,食品饮料,坚果礼盒,1,118.0,1.0,118.0,75.52,新客,已完成
ORD-2025-0012,2025-04-11,西北,企业团购,数码配件,手机支架,5,49.0,0.95,232.75,110.25,会员,已完成
ORD-2025-0013,2025-01-01,西南,直播间,食品饮料,低糖燕麦,4,59.0,0.85,200.6,143.96,,已完成
ORD-2025-0014,2025-06-10,西南,直营网店,家居日用,收纳箱,3,69.0,0.85,175.95,103.5,老客,已完成
ORD-2025-0015,2025-05-13,华北,直营网店,数码配件,蓝牙耳机,1,239.0,0.95,227.05,138.62,新客,已完成
ORD-2025-0016,2025-03-23,华中,企业团购,厨房用品,保温杯,2,89.0,1.0,178.0,85.44,会员,已完成
ORD-2025-0017,2025-03-02,华南,电商平台,家居日用,床上四件套,5,329.0,0.9,1480.5,1019.9,新客,已完成
ORD-2025-0018,2025-02-04,西南,电商平台,食品饮料,手冲咖啡豆,5,79.0,0.85,335.75,225.15,新客,退款中
